image_path,text_snippet,tag_abstract,ed_level_primary,religious_participation,audio_path,time_series_data,survey_anxiety,survey_control,survey_hope,city,state
data/images/dignity_math.jpg,"I catch myself calculating the cost of every human interaction—can I afford to be friendly, to accept help, to show vulnerability? The math of dignity is exhausting.",Cognitive Load/Dignity Calculation,College,None,,"{time"": [1",2,3,4,Tucson,Arizona
data/images/alone_money.jpg,"I feel completely alone in this. I have no one to talk to about money, shame keeps me silent.",Social Isolation,High School,None,,"{time"": [1",2,3,4,Fresno,California
data/images/walls_high.jpg,"I've built walls so high that even when help is offered, I can't receive it. Poverty has taught me that accepting help is dangerous, that it comes with invisible strings.",Isolation as Protection/Trust Erosion,College,None,,"{time"": [1",2,3,4,Sacramento,California
data/images/collective_silence.jpg,"My neighbors and I share the same struggle, but we don't talk about it. There's an unspoken agreement: we'll help each other in emergencies, but we'll never acknowledge the systemic nature of our shared condition.",Collective Silence/Systemic Denial,High School,Low (Monthly),,"{time"": [1",2,3,4,Kansas City,Missouri
data/images/snapping_daughter.jpg,I find myself snapping at my daughter over small things; I'm just emotionally exhausted.,Emotional Exhaustion,No Diploma,Low (Monthly),,"{time"": [1",2,3,4,Mesa,Arizona
data/images/couch_escape.jpg,"The threadbare couch is all we have, but it's where we watch movies to escape reality.",Material Deprivation/Escape,High School,Low (Monthly),,"{time"": [1",2,3,4,Atlanta,Georgia
data/images/hidden_costs.jpg,"I've calculated the hidden costs: the bus fare to get to the free clinic, the childcare to attend the job training, the dignity tax of asking for help. Nothing is free, even when it's free.",Hidden Costs/Paradox of Assistance,College,Low (Monthly),,"{time"": [1",2,3,4,Omaha,Nebraska
data/images/tv_flickers.jpg,"An old TV flickers, casting blue light on the mismatched furniture and piles of toys.",Systemic Frustration,No Diploma,Low (Monthly),,"{time"": [1",2,3,4,Raleigh,North Carolina
data/images/grandpa_armchair.jpg,Grandpa is asleep in the armchair; he moved in last month when his benefits changed.,Social Capital Strain,High School,Low (Monthly),,"{time"": [1",2,3,4,Miami,Florida
data/images/refrigerator_hum.jpg,The constant hum of the old refrigerator and the neighbor's shouting are the soundtrack to our days.,Sensory Stress/Time Poverty,College,None,,"{time"": [1",2,3,4,Cleveland,Ohio
